customerID,phoneDescription,internetDescription
3941-XTSKM,None,"DSL with online backup, device protection, streaming movies"
1661-CZBAU,Phone service with multiple lines,"DSL with online security, tech support, streaming movies"
6599-RCLCJ,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
9831-BPFRI,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support"
5158-RIVOP,Phone service,None
9788-YTFGE,Phone service,None
9277-JOOMO,Phone service with multiple lines,None
1907-YLNYW,Phone service,"DSL with online security, device protection, streaming movies"
1725-MIMXW,Phone service,None
8947-YRTDV,Phone service,"Fiber optic with online security, online backup, device protection, streaming movies"
3161-ONRWK,Phone service,"DSL with online security, online backup, device protection, tech support"
0114-RSRRW,Phone service,None
4565-NLZBV,Phone service with multiple lines,None
0031-PVLZI,Phone service,None
7206-GZCDC,Phone service,Fiber optic
6682-VCIXC,None,"DSL with online security, online backup, tech support, streaming tv"
4791-QRGMF,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
6475-VHUIZ,Phone service,"DSL with device protection, tech support"
3910-MRQOY,Phone service,None
0661-WCQNQ,Phone service,"DSL with online security, tech support"
7537-RBWEA,None,DSL
4656-CAURT,Phone service with multiple lines,None
0121-SNYRK,None,"DSL with online security, tech support"
1768-ZAIFU,None,DSL
4671-LXRDQ,Phone service,DSL
3733-LSYCE,Phone service,Fiber optic with online backup
6265-FRMTQ,Phone service,None
1934-SJVJK,Phone service,None
3838-OZURD,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
1371-DWPAZ,None,"DSL with online security, online backup, device protection, tech support, streaming tv"
9269-CQOOL,Phone service,DSL with streaming tv
2017-CCBLH,Phone service,None
7690-KPNCU,Phone service,"DSL with online security, device protection, streaming tv, streaming movies"
0536-BGFMZ,Phone service,None
2293-IJWPS,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
2845-HSJCY,Phone service with multiple lines,"Fiber optic with device protection, streaming movies"
5469-NUJUR,Phone service,None
1184-PJVDB,Phone service,Fiber optic with streaming tv
2625-TRCZQ,None,"DSL with online backup, streaming tv, streaming movies"
4102-HLENU,Phone service with multiple lines,"DSL with online security, online backup, device protection"
7266-GSSJX,Phone service,None
7722-VJRQD,None,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
7073-QETQY,Phone service,None
9415-DPEWS,Phone service with multiple lines,"Fiber optic with tech support, streaming tv"
5624-RYAMH,Phone service,None
0196-JTUQI,Phone service with multiple lines,Fiber optic
7130-YXBRO,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
9272-LSVYH,Phone service,Fiber optic
7943-RQCHR,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
3793-MMFUH,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
3249-ZPQRG,Phone service with multiple lines,Fiber optic with online backup
2568-BRGYX,Phone service,Fiber optic
3084-DOWLE,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
1084-MNSMJ,Phone service,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
7721-JXEAW,None,"DSL with online backup, streaming movies"
7249-WBIYX,Phone service with multiple lines,Fiber optic with streaming tv
4238-HFHSN,Phone service with multiple lines,Fiber optic with online backup
6250-CGGUN,Phone service,"Fiber optic with online security, device protection, tech support"
5478-JJVZK,Phone service with multiple lines,"DSL with online security, online backup"
7596-IIWYC,Phone service,None
6567-HOOPW,Phone service,Fiber optic with streaming tv
9793-WECQC,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
4291-HPAXL,Phone service,None
8999-YPYBV,Phone service,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
1839-FBNFR,Phone service,None
3164-AALRN,Phone service,"DSL with device protection, streaming tv, streaming movies"
3071-MVJCD,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv"
1697-BCSHV,Phone service with multiple lines,"DSL with online backup, streaming tv"
0562-KBDVM,None,"DSL with online security, online backup, device protection, tech support"
1131-SUEKT,Phone service,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
3717-OEAUQ,Phone service,Fiber optic
4538-WNTMJ,Phone service with multiple lines,None
3334-CTHOL,Phone service with multiple lines,DSL
4704-ERYFC,Phone service,Fiber optic
9432-RUVSL,Phone service,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
8060-HIWJJ,Phone service with multiple lines,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
7684-XSZIY,Phone service with multiple lines,None
9089-UOWJG,Phone service,"DSL with device protection, streaming tv"
8621-MNIHH,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming movies"
8039-ACLPL,Phone service,"DSL with online security, online backup, device protection, streaming movies"
9885-AIBVB,Phone service with multiple lines,"Fiber optic with online backup, device protection"
1934-MKPXS,Phone service,None
2592-YKDIF,Phone service,None
2272-JKMSI,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
0471-LVHGK,Phone service with multiple lines,"DSL with device protection, streaming tv, streaming movies"
9518-RWHZL,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
8714-CTZJW,Phone service,"Fiber optic with device protection, streaming movies"
3569-EDBPQ,Phone service with multiple lines,"Fiber optic with online security, tech support"
3131-NWVFJ,Phone service,None
7521-YXVZY,Phone service,None
5419-CONWX,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
6240-EURKS,None,DSL with streaming movies
2373-NTKOD,Phone service,"DSL with streaming tv, streaming movies"
1970-KKFWL,Phone service with multiple lines,None
6960-HVYXR,Phone service with multiple lines,Fiber optic
9337-SRRNI,Phone service with multiple lines,None
0895-UADGO,None,"DSL with online security, tech support, streaming movies"
5678-VFNEQ,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv, streaming movies"
5977-CKHON,Phone service with multiple lines,"Fiber optic with device protection, streaming movies"
7024-OHCCK,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
2692-BUCFV,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
7861-UVUFT,Phone service,"Fiber optic with device protection, streaming tv"
1830-GGFNM,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support"
5302-BDJNT,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv"
5223-UZAVK,Phone service,"Fiber optic with online security, online backup, streaming tv, streaming movies"
4859-ZSRDZ,None,"DSL with device protection, tech support, streaming tv, streaming movies"
5651-WYIPH,Phone service,DSL with online backup
9350-VLHMB,Phone service with multiple lines,"Fiber optic with online backup, streaming movies"
3498-LZGQZ,Phone service,None
8785-CJSHH,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
5357-TZHPP,Phone service with multiple lines,Fiber optic with streaming movies
3870-SPZSI,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
0680-DFNNY,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
7560-QRBXH,Phone service,None
7077-XJMET,Phone service,"DSL with device protection, tech support, streaming tv, streaming movies"
8752-GHJFU,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support"
6896-SRVYQ,Phone service,Fiber optic with device protection
7767-UXAGJ,Phone service with multiple lines,DSL
4652-ODEVH,Phone service with multiple lines,None
6510-UPNKS,Phone service with multiple lines,None
6718-BDGHG,Phone service with multiple lines,"DSL with tech support, streaming tv"
9046-DQMTP,Phone service,None
6439-LAJXL,Phone service,"DSL with online security, online backup, tech support, streaming tv"
1571-SAVHK,Phone service with multiple lines,"Fiber optic with tech support, streaming tv, streaming movies"
9052-VKDUW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
9546-CQJSU,Phone service with multiple lines,"Fiber optic with device protection, streaming tv"
1666-JZPZT,Phone service with multiple lines,DSL
5777-KJIRB,Phone service,DSL with device protection
0506-LVNGN,Phone service,Fiber optic with device protection
7677-SJJJK,Phone service,None
2480-EJWYP,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
3253-HKOKL,Phone service,"Fiber optic with online security, device protection, streaming tv, streaming movies"
7055-HNEOJ,Phone service,"DSL with device protection, tech support"
5514-YQENT,Phone service,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
3211-AAPKX,Phone service with multiple lines,"Fiber optic with tech support, streaming tv, streaming movies"
8445-DNBAE,Phone service with multiple lines,DSL
2951-QOQTK,Phone service with multiple lines,Fiber optic with tech support
2958-NHPPS,Phone service,None
6806-YDEUL,Phone service,None
1735-XMJVH,Phone service,None
6890-PFRQX,Phone service with multiple lines,"DSL with online security, device protection, streaming tv"
0222-CNVPT,None,"DSL with online security, streaming tv, streaming movies"
5899-OUVKV,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
8681-ICONS,Phone service,None
1621-YNCJH,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming movies"
3473-XIIIT,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
6362-QHAFM,Phone service with multiple lines,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
7893-IXHRQ,Phone service,None
3070-BDOQC,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
2952-QAYZF,Phone service with multiple lines,"Fiber optic with online backup, device protection"
6234-PFPXL,Phone service with multiple lines,"Fiber optic with online security, tech support, streaming tv"
9824-QCJPK,Phone service,None
4763-PGDPO,Phone service,Fiber optic
4283-IVYCI,Phone service,"DSL with online security, tech support, streaming movies"
1866-OBPNR,Phone service,Fiber optic with online backup
8205-MQUGY,Phone service,DSL with online security
8970-ANWXO,Phone service with multiple lines,"DSL with tech support, streaming tv, streaming movies"
9480-BQJEI,Phone service with multiple lines,"Fiber optic with online security, online backup, streaming movies"
5394-SVGJV,Phone service with multiple lines,"Fiber optic with tech support, streaming tv, streaming movies"
6979-TNDEU,Phone service,None
9777-WJJPR,Phone service with multiple lines,"Fiber optic with device protection, streaming tv"
9283-LZQOH,Phone service with multiple lines,Fiber optic
7079-QRCBC,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
9495-SKLKD,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming movies"
6048-UWKAL,Phone service with multiple lines,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
5067-DGXLL,Phone service,None
5469-CTCWN,Phone service with multiple lines,"Fiber optic with online security, online backup, streaming tv, streaming movies"
9851-QXEEQ,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
6281-FKEWS,None,"DSL with device protection, streaming tv, streaming movies"
8898-KASCD,None,"DSL with device protection, tech support"
9242-TKFSV,None,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
9290-SHCMB,Phone service,"Fiber optic with device protection, streaming tv, streaming movies"
0743-HNPFG,Phone service,"DSL with online security, online backup, tech support, streaming movies"
2277-BKJKN,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
9809-IMGCQ,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
5208-HFSBT,Phone service,"DSL with online backup, tech support"
5035-PGZXH,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
8695-WDYEA,Phone service,DSL with online security
6543-JXSOO,Phone service,"DSL with online security, online backup, tech support"
8016-ZMGMO,Phone service with multiple lines,"DSL with online backup, device protection, streaming tv"
8605-ITULD,Phone service,None
3254-YRILK,Phone service with multiple lines,"Fiber optic with online backup, streaming tv"
6416-YJTTB,Phone service,"Fiber optic with online security, device protection"
2667-WYLWJ,Phone service,None
4472-VESGY,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming movies"
3195-TQDZX,Phone service,None
3128-YOVTD,Phone service,"Fiber optic with online security, online backup"
0529-ONKER,Phone service with multiple lines,Fiber optic
1728-CXQBE,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming movies"
7041-TXQJH,None,"DSL with device protection, streaming movies"
5014-GSOUQ,Phone service,None
5724-BIDBU,Phone service with multiple lines,DSL with online security
0481-SUMCB,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
1769-GRUIK,Phone service,Fiber optic
5240-IJOQT,Phone service with multiple lines,Fiber optic
8819-WFGGJ,None,"DSL with online security, device protection, streaming tv, streaming movies"
7427-AUFPY,Phone service,None
2811-POVEX,Phone service,"Fiber optic with online backup, device protection, streaming movies"
1092-GANHU,Phone service,Fiber optic with device protection
7898-PDWQE,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming movies"
9972-EWRJS,Phone service,None
9314-IJWSQ,Phone service with multiple lines,Fiber optic with streaming tv
0661-XEYAN,None,DSL
5799-JRCZO,Phone service,None
1921-KYSAY,Phone service with multiple lines,"DSL with device protection, tech support, streaming movies"
6198-RTPMF,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
2924-KHUVI,Phone service with multiple lines,"Fiber optic with online security, streaming tv, streaming movies"
1925-GMVBW,Phone service,None
7881-EVUAD,None,"DSL with online security, online backup, streaming movies"
6184-DYUOB,Phone service,None
9207-ZPANB,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support"
5766-XQXMQ,Phone service,"DSL with online security, online backup, device protection, streaming movies"
9327-QSDED,Phone service,DSL
1656-DRSMG,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
3012-VFFMN,Phone service,None
2984-AFWNC,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
0640-YJTPY,Phone service,None
8096-LOIST,Phone service,DSL with streaming movies
9764-REAFF,Phone service,None
3703-VAVCL,Phone service,"Fiber optic with device protection, tech support, streaming movies"
7107-UBYKY,Phone service with multiple lines,None
4881-GQJTW,Phone service,None
8519-QJGJD,Phone service,Fiber optic with device protection
7876-DNYAP,Phone service,None
7905-NJMXS,Phone service with multiple lines,"DSL with online security, online backup, tech support"
2882-WDTBA,Phone service,"DSL with online security, online backup, device protection, tech support, streaming tv"
2091-GPPIQ,Phone service with multiple lines,"DSL with online backup, tech support, streaming tv, streaming movies"
6326-MTTXK,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
5071-FBJFS,Phone service,DSL with online security
2796-UUZZO,Phone service,"Fiber optic with online backup, device protection"
2429-AYKKO,Phone service,None
9798-OPFEM,Phone service,None
0330-IVZHA,Phone service,Fiber optic
3794-NFNCH,Phone service,DSL with device protection
5193-QLVZB,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
7114-AEOZE,Phone service,None
2886-KEFUM,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
5522-NYKPB,Phone service,"Fiber optic with tech support, streaming tv"
4237-RLAQD,Phone service,DSL
9957-YODKZ,Phone service with multiple lines,Fiber optic with device protection
6518-KZXCB,Phone service with multiple lines,None
2245-ADZFJ,Phone service with multiple lines,"DSL with online backup, tech support, streaming tv, streaming movies"
7776-QGYJC,Phone service,"Fiber optic with device protection, tech support"
9313-QOLTZ,Phone service,None
9651-GTSAQ,Phone service,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
3186-BAXNB,Phone service,"Fiber optic with online backup, tech support, streaming tv"
4672-FOTSD,Phone service with multiple lines,"DSL with online security, online backup, tech support"
0637-YLETY,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming movies"
9818-XQCUV,Phone service,None
7338-ERIVA,None,"DSL with online security, tech support, streaming tv"
1157-BQCUW,Phone service with multiple lines,Fiber optic
8259-NFJTV,None,"DSL with online security, tech support"
3223-DWFIO,Phone service,Fiber optic
2660-EMUBI,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
6968-GMKPR,Phone service,"Fiber optic with online backup, device protection"
4751-ERMAN,Phone service,"DSL with online backup, device protection, streaming tv, streaming movies"
1436-ZMJAN,Phone service,"DSL with device protection, streaming tv, streaming movies"
3292-PBZEJ,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
0799-DDIHE,Phone service,DSL
3070-FNFZQ,Phone service,None
2812-SFXMJ,Phone service,None
7675-OZCZG,Phone service,DSL
5014-WUQMG,Phone service,"Fiber optic with online security, online backup, device protection, streaming movies"
5312-TSZVC,Phone service,None
2003-CKLOR,Phone service,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
0993-OSGPT,Phone service,"DSL with online backup, device protection, tech support"
9254-RBFON,Phone service,"Fiber optic with device protection, tech support, streaming tv, streaming movies"
1205-WNWPJ,Phone service,"DSL with tech support, streaming tv"
9391-EOYLI,Phone service,Fiber optic with streaming movies
7108-DGVUU,Phone service with multiple lines,"DSL with online backup, device protection, streaming movies"
2782-JEEBU,None,"DSL with online backup, tech support"
5127-BZENZ,Phone service with multiple lines,"DSL with online security, streaming tv"
2720-FVBQP,Phone service with multiple lines,DSL
9906-NHHVC,None,"DSL with online backup, device protection, streaming tv, streaming movies"
4522-XRWWI,Phone service with multiple lines,"DSL with online security, tech support, streaming tv, streaming movies"
3766-EJLFL,Phone service with multiple lines,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
5939-SXWHM,Phone service with multiple lines,None
8152-UOBNY,Phone service with multiple lines,"Fiber optic with online backup, tech support, streaming tv, streaming movies"
7351-KYHQH,Phone service,"DSL with online backup, device protection, streaming tv"
7643-RCHXS,Phone service,None
8246-SHFGA,Phone service,None
8387-MOJJT,Phone service,Fiber optic with streaming tv
0620-XEFWH,Phone service,None
6485-QXWWE,Phone service with multiple lines,None
2761-OCIAX,Phone service,Fiber optic with online backup
7321-VGNKU,Phone service,Fiber optic
5327-CNLUQ,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv"
7552-KEYGT,Phone service,None
5816-JMLGY,Phone service,"DSL with online backup, device protection, tech support, streaming tv, streaming movies"
3068-OMWZA,Phone service with multiple lines,"Fiber optic with device protection, streaming tv"
2927-QRRQV,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv"
6032-KRXXO,Phone service,"Fiber optic with streaming tv, streaming movies"
7459-RRWQZ,Phone service with multiple lines,"DSL with online security, streaming movies"
6265-SXWBU,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv"
7941-RCJOW,Phone service,None
6374-NTQLP,Phone service,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
4154-AQUGT,Phone service,"Fiber optic with online backup, tech support, streaming movies"
2387-KDZQY,Phone service,None
3584-WKTTW,Phone service with multiple lines,"Fiber optic with online security, device protection, tech support, streaming tv, streaming movies"
3399-BMLVW,Phone service,"DSL with online security, online backup, tech support"
1971-DTCZB,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
3092-IGHWF,Phone service with multiple lines,"Fiber optic with online backup, device protection"
3374-PZLXD,Phone service,None
3813-DHBBB,None,"DSL with online security, online backup, tech support, streaming movies"
2812-REYAT,Phone service,None
6518-PPLMZ,Phone service,None
4939-KYYPY,Phone service with multiple lines,"DSL with device protection, tech support"
8017-LXHFA,Phone service,"Fiber optic with online backup, streaming tv, streaming movies"
5930-GBIWP,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming movies"
6022-KOUQO,None,DSL with tech support
6352-TWCAU,Phone service with multiple lines,Fiber optic with streaming tv
2361-UPSND,Phone service,"DSL with online security, online backup, tech support, streaming movies"
6035-RIIOM,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
2929-QNSRW,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
1262-OPMFY,Phone service,Fiber optic with device protection
9504-DSHWM,Phone service with multiple lines,"DSL with online security, tech support"
5035-BVCXS,Phone service,Fiber optic with online backup
6267-DCFFZ,Phone service with multiple lines,"Fiber optic with online backup, streaming tv"
3533-UVMOM,Phone service,"DSL with online security, online backup, device protection, streaming movies"
2439-LYPMQ,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
4248-QPAVC,Phone service with multiple lines,"Fiber optic with online security, device protection"
1899-VXWXM,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
1478-VPOAD,Phone service,DSL
9995-HOTOH,None,"DSL with online security, online backup, device protection, streaming tv, streaming movies"
2988-PLAHS,Phone service,"DSL with device protection, streaming tv, streaming movies"
1371-OJCEK,Phone service with multiple lines,None
4999-IEZLT,None,DSL with tech support
8883-ANODQ,Phone service with multiple lines,"Fiber optic with online backup, device protection"
4690-LLKUA,Phone service,DSL
2351-RRBUE,Phone service,None
5980-BDHPY,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support, streaming tv, streaming movies"
1498-DQNRX,Phone service,None
9469-WEJBT,Phone service,"Fiber optic with device protection, tech support, streaming movies"
3331-HQDTW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
9490-DFPMD,Phone service with multiple lines,Fiber optic with streaming tv
2581-VKIRT,Phone service with multiple lines,"DSL with online security, online backup, tech support"
5442-XSDCW,Phone service,Fiber optic with streaming tv
7426-WEIJX,Phone service with multiple lines,Fiber optic with online security
2851-MMUTZ,Phone service,"DSL with online backup, tech support"
3049-NDXFL,Phone service with multiple lines,Fiber optic with streaming movies
8580-AECUZ,Phone service,Fiber optic with streaming tv
3307-TLCUD,None,"DSL with online security, device protection"
6625-FLENO,Phone service,None
2967-MXRAV,Phone service,None
7963-GQRMY,Phone service,DSL
8189-HBVRW,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection"
4163-KIUHY,Phone service with multiple lines,None
1228-FZFRV,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv, streaming movies"
3500-NSDOA,Phone service with multiple lines,"DSL with online backup, tech support, streaming movies"
1171-TYKUR,Phone service with multiple lines,None
3761-FLYZI,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
2058-DCJBE,Phone service,Fiber optic
5364-XYIRR,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
4829-AUOAX,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
1219-NNDDO,Phone service with multiple lines,Fiber optic
8388-DMKAE,Phone service,None
4403-BWPAY,Phone service with multiple lines,None
9659-QEQSY,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
5405-ZMYXQ,Phone service with multiple lines,Fiber optic
5047-LHVLY,Phone service,DSL with device protection
1442-OKRJE,Phone service,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
4737-AQCPU,Phone service with multiple lines,"DSL with online security, online backup, device protection, tech support"
9158-VCTQB,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
2808-CHTDM,Phone service with multiple lines,None
6311-UEUME,Phone service,Fiber optic with streaming tv
0793-TWELN,Phone service with multiple lines,Fiber optic with online security
3283-WCWXT,Phone service with multiple lines,None
1060-ENTOF,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming movies"
0999-QXNSA,Phone service,DSL
5451-MHQOF,Phone service with multiple lines,None
4836-WNFNO,Phone service with multiple lines,None
9225-BZLNZ,Phone service with multiple lines,"DSL with online security, online backup, device protection, streaming tv, streaming movies"
0354-VXMJC,Phone service,None
4422-QVIJA,Phone service with multiple lines,DSL
9365-SRSZE,Phone service,Fiber optic
6839-ITVZJ,Phone service with multiple lines,"DSL with online backup, tech support"
8332-OSJDW,Phone service with multiple lines,None
4735-BJKOU,Phone service,None
0274-JKUJR,None,"DSL with online security, online backup, device protection, streaming tv, streaming movies"
5740-YHGTW,Phone service with multiple lines,"Fiber optic with online security, online backup, streaming tv"
8917-SZTTJ,Phone service,None
1696-MZVAU,None,DSL
7359-WWYJV,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
0375-HVGXO,None,DSL with streaming tv
4906-ZHGPK,Phone service with multiple lines,"DSL with online backup, tech support, streaming tv"
8593-WHYHV,Phone service with multiple lines,Fiber optic with streaming movies
3795-GWTRD,Phone service,"DSL with online security, online backup, device protection, tech support, streaming tv"
1298-PHBTI,Phone service with multiple lines,"Fiber optic with online backup, tech support"
6223-DHJGV,Phone service,None
6961-MJKBO,Phone service,None
6097-EQISJ,Phone service with multiple lines,"Fiber optic with online backup, device protection, streaming tv, streaming movies"
4423-YLHDV,Phone service with multiple lines,"Fiber optic with online security, device protection, streaming tv, streaming movies"
8158-WPEZG,None,"DSL with online backup, tech support"
0107-YHINA,Phone service with multiple lines,"Fiber optic with device protection, streaming tv, streaming movies"
4918-FYJNT,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support"
0727-BNRLG,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv"
4854-CIDCF,Phone service,Fiber optic with device protection
8640-SDGKB,Phone service,"DSL with device protection, tech support, streaming tv, streaming movies"
3280-MRDOF,Phone service with multiple lines,"DSL with device protection, tech support, streaming tv"
6435-SRWBJ,Phone service with multiple lines,"Fiber optic with device protection, tech support"
9964-WBQDJ,Phone service with multiple lines,None
6303-KFWSL,Phone service with multiple lines,DSL with online backup
1702-CCFNJ,Phone service with multiple lines,"DSL with online backup, tech support"
8932-CZHRQ,Phone service with multiple lines,"DSL with online security, online backup, device protection, streaming movies"
0386-CWRGM,Phone service,None
5515-RUGKN,Phone service,DSL with streaming movies
0404-AHASP,Phone service,None
7279-NMVJC,Phone service,None
2081-VEYEH,Phone service,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
6407-UTSLV,Phone service,"Fiber optic with online backup, streaming tv"
4116-TZAQJ,Phone service,Fiber optic with online security
9060-HJJRW,None,"DSL with online backup, device protection, streaming tv, streaming movies"
2587-YNLES,Phone service,None
7398-SKNQZ,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
5935-FCCNB,Phone service with multiple lines,"Fiber optic with streaming tv, streaming movies"
1958-RNRKS,Phone service with multiple lines,DSL
5136-RGMZO,Phone service with multiple lines,"DSL with online backup, tech support, streaming tv"
8345-MVDYC,Phone service,"DSL with online security, device protection, tech support, streaming tv, streaming movies"
8226-BXGES,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection"
3877-JRJIP,Phone service with multiple lines,DSL with streaming tv
8375-DKEBR,Phone service,Fiber optic
9705-IOVQQ,Phone service with multiple lines,"Fiber optic with online backup, streaming tv, streaming movies"
1015-OWJKI,Phone service,None
7511-YMXVQ,None,"DSL with streaming tv, streaming movies"
2040-XBAVJ,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
7551-JOHTI,Phone service,None
8887-IPQNC,Phone service,DSL
8646-JCOMS,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support"
9804-ICWBG,Phone service,Fiber optic
1222-KJNZD,Phone service,None
0106-GHRQR,Phone service with multiple lines,"DSL with online backup, device protection, streaming movies"
5318-IXUZF,Phone service,"Fiber optic with online backup, streaming tv"
3768-VHXQO,Phone service with multiple lines,None
8952-WCVCD,Phone service,"Fiber optic with online security, online backup, device protection, streaming tv, streaming movies"
2418-TPEUN,Phone service,None
3963-RYFNS,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support, streaming tv, streaming movies"
3198-VELRD,Phone service with multiple lines,Fiber optic with streaming movies
8540-ZQGEA,Phone service,None
1320-REHCS,Phone service with multiple lines,"Fiber optic with online backup, device protection, tech support, streaming tv, streaming movies"
4137-JOPHL,Phone service,"Fiber optic with device protection, tech support, streaming movies"
9436-ZBZCT,Phone service with multiple lines,"Fiber optic with tech support, streaming tv"
7801-CEDNV,Phone service,DSL with online security
2057-BOYKM,Phone service with multiple lines,"Fiber optic with online security, online backup, device protection, tech support"
