customerID,subscriptionDescription,contractDescription,TotalCharges
2038-LLMLM,Is subscribed for 48 months at a monthly cost of 103.85,Month-to-month Electronic check paperless billing,4946.05
6173-ITPWD,Was subscribed for 47 months at a monthly cost of 83.35,Month-to-month Bank transfer (automatic) paperless billing,4065
9734-UYXQI,Was subscribed for 2 months at a monthly cost of 49.4,Month-to-month Electronic check paperless billing,106.55
1216-BGTSP,Is subscribed for 45 months at a monthly cost of 108.45,Month-to-month Credit card (automatic) paperless billing,4964.7
4138-NAXED,Is subscribed for 51 months at a monthly cost of 81.0,Month-to-month Bank transfer (automatic),4085.75
2189-UXTKY,Was subscribed for 22 months at a monthly cost of 79.2,Month-to-month Electronic check paperless billing,1742.75
0744-BIKKF,Is subscribed for 72 months at a monthly cost of 86.65,Two year Bank transfer (automatic),6224.8
7483-IQWIB,Is subscribed for 37 months at a monthly cost of 92.95,Month-to-month Electronic check paperless billing,3415.25
5248-KWLAR,Is subscribed for 71 months at a monthly cost of 90.35,Two year Electronic check,6325.25
4958-GZWIY,Was subscribed for 7 months at a monthly cost of 48.7,Month-to-month Electronic check,340.25
7996-MHXLW,Is subscribed for 66 months at a monthly cost of 25.15,Two year Credit card (automatic) paperless billing,1683.6
7833-PKIHD,Is subscribed for 51 months at a monthly cost of 76.4,One year Bank transfer (automatic) paperless billing,3966.3
7061-OVMIM,Is subscribed for 30 months at a monthly cost of 19.55,One year Bank transfer (automatic),608.5
5153-RTHKF,Is subscribed for 34 months at a monthly cost of 85.35,Month-to-month Electronic check,2896.6
1852-QSWCD,Is subscribed for 64 months at a monthly cost of 24.8,Two year Mailed check paperless billing,1514.85
4832-VRBMR,Is subscribed for 65 months at a monthly cost of 103.15,One year Bank transfer (automatic) paperless billing,6792.45
9079-LWTFD,Is subscribed for 47 months at a monthly cost of 100.75,Month-to-month Mailed check,4669.2
6356-ELRKD,Was subscribed for 1 months at a monthly cost of 95.6,Month-to-month Electronic check paperless billing,95.6
8624-GIOUT,Was subscribed for 49 months at a monthly cost of 59.75,Month-to-month Credit card (automatic) paperless billing,2934.3
3392-EHMNK,Is subscribed for 67 months at a monthly cost of 94.1,Two year Credit card (automatic),6302.8
5986-WWXDV,Is subscribed for 39 months at a monthly cost of 19.35,One year Bank transfer (automatic),779.2
3061-BCKYI,Is subscribed for 14 months at a monthly cost of 19.9,Month-to-month Mailed check,283.75
6179-GJPSO,Was subscribed for 43 months at a monthly cost of 108.15,Month-to-month Credit card (automatic) paperless billing,4600.7
7901-TBKJX,Is subscribed for 56 months at a monthly cost of 101.05,Month-to-month Electronic check paperless billing,5594
7228-PAQPD,Is subscribed for 14 months at a monthly cost of 59.1,One year Credit card (automatic),772.85
3177-LASXD,Was subscribed for 1 months at a monthly cost of 71.35,Month-to-month Electronic check,71.35
7746-QYVCO,Is subscribed for 16 months at a monthly cost of 55.85,One year Mailed check paperless billing,857.8
5804-HYIEZ,Is subscribed for 70 months at a monthly cost of 106.05,Month-to-month Electronic check paperless billing,7554.05
9919-FZDED,Is subscribed for 72 months at a monthly cost of 84.1,Two year Credit card (automatic) paperless billing,5981.65
5934-TSSAU,Is subscribed for 23 months at a monthly cost of 75.3,Month-to-month Credit card (automatic) paperless billing,1702.9
3486-KHMLI,Is subscribed for 21 months at a monthly cost of 24.7,Month-to-month Mailed check,467.15
4897-QSUYC,Was subscribed for 1 months at a monthly cost of 20.15,Month-to-month Mailed check paperless billing,20.15
1084-UQCHV,Was subscribed for 1 months at a monthly cost of 69.75,Month-to-month Bank transfer (automatic),69.75
8290-YWKHZ,Was subscribed for 32 months at a monthly cost of 93.2,Month-to-month Electronic check paperless billing,2931
2955-BJZHG,Was subscribed for 17 months at a monthly cost of 80.85,Month-to-month Electronic check,1400.85
3806-DXQOM,Was subscribed for 4 months at a monthly cost of 33.65,Month-to-month Electronic check paperless billing,137.85
6784-XYJAE,Is subscribed for 36 months at a monthly cost of 55.8,One year Electronic check,1941.5
3933-DQPWX,Is subscribed for 50 months at a monthly cost of 39.7,Two year Credit card (automatic),1932.75
6661-EIPZC,Is subscribed for 48 months at a monthly cost of 29.5,Month-to-month Credit card (automatic) paperless billing,1423.05
8957-THMOA,Is subscribed for 50 months at a monthly cost of 20.15,Two year Credit card (automatic),970.85
2251-PYLPB,Is subscribed for 72 months at a monthly cost of 79.55,Two year Credit card (automatic),5810.9
5555-RNPGT,Is subscribed for 10 months at a monthly cost of 24.8,Month-to-month Credit card (automatic),223.9
1057-FOGLZ,Is subscribed for 18 months at a monthly cost of 19.65,Month-to-month Mailed check,391.7
9300-RENDD,Was subscribed for 1 months at a monthly cost of 79.95,Month-to-month Electronic check paperless billing,79.95
0761-AETCS,Was subscribed for 1 months at a monthly cost of 19.3,Month-to-month Electronic check,19.3
8087-LGYHQ,Is subscribed for 9 months at a monthly cost of 94.05,Month-to-month Electronic check paperless billing,811.65
4137-BTIKL,Is subscribed for 2 months at a monthly cost of 90.75,Month-to-month Mailed check,174.75
2190-BCXEC,Is subscribed for 40 months at a monthly cost of 78.85,Month-to-month Credit card (automatic) paperless billing,3126.85
6227-FBDXH,Is subscribed for 69 months at a monthly cost of 99.5,One year Bank transfer (automatic),6841.45
2153-MREFK,Was subscribed for 37 months at a monthly cost of 99.2,One year Electronic check paperless billing,3754.6
2911-WDXMV,Is subscribed for 18 months at a monthly cost of 80.55,Month-to-month Credit card (automatic) paperless billing,1406.65
7206-PQBBZ,Is subscribed for 11 months at a monthly cost of 70.2,Month-to-month Electronic check paperless billing,834.7
3106-ULWFW,Was subscribed for 8 months at a monthly cost of 85.2,Month-to-month Credit card (automatic) paperless billing,627.4
0925-VYDLG,Was subscribed for 3 months at a monthly cost of 75.25,Month-to-month Electronic check,242
4547-FZJWE,Is subscribed for 55 months at a monthly cost of 59.45,One year Credit card (automatic),3157
7422-WNBTY,Is subscribed for 33 months at a monthly cost of 93.35,Month-to-month Electronic check paperless billing,3092
0842-IWYCP,Is subscribed for 46 months at a monthly cost of 44.95,Month-to-month Bank transfer (automatic),2168.9
3521-HTQTV,Is subscribed for 34 months at a monthly cost of 26.1,Two year Bank transfer (automatic),980.35
3744-ZBHON,Is subscribed for 3 months at a monthly cost of 20.2,Month-to-month Electronic check,65.95
3373-DIUUN,Is subscribed for 30 months at a monthly cost of 21.25,Two year Mailed check,711.9
8383-SGHJU,Is subscribed for 33 months at a monthly cost of 59.4,One year Electronic check,1952.8
7607-QKKTJ,Is subscribed for 45 months at a monthly cost of 95.0,One year Credit card (automatic) paperless billing,4368.85
7707-PYBBH,Is subscribed for 40 months at a monthly cost of 61.9,Month-to-month Mailed check paperless billing,2647.1
8984-HPEMB,Is subscribed for 71 months at a monthly cost of 118.65,Two year Electronic check paperless billing,8477.6
4349-GFQHK,Was subscribed for 1 months at a monthly cost of 54.35,Month-to-month Electronic check,54.35
4139-DETXS,Is subscribed for 72 months at a monthly cost of 64.45,Two year Bank transfer (automatic),4528
9779-DPNEJ,Is subscribed for 22 months at a monthly cost of 80.15,Month-to-month Electronic check paperless billing,1790.65
9805-FILKB,Is subscribed for 46 months at a monthly cost of 20.2,One year Bank transfer (automatic) paperless billing,845.6
5793-YOLJN,Is subscribed for 55 months at a monthly cost of 21.0,Two year Mailed check,1210.3
0673-IGUQO,Is subscribed for 1 months at a monthly cost of 20.45,Month-to-month Mailed check,20.45
4123-FCVCB,Is subscribed for 12 months at a monthly cost of 75.85,One year Mailed check paperless billing,854.45
8819-IMISP,Is subscribed for 31 months at a monthly cost of 80.45,Month-to-month Electronic check paperless billing,2429.1
7802-EFKNY,Was subscribed for 5 months at a monthly cost of 24.95,Month-to-month Electronic check paperless billing,100.4
8311-UEUAB,Is subscribed for 67 months at a monthly cost of 75.5,Two year Electronic check paperless billing,5229.45
5858-EAFCZ,Is subscribed for 1 months at a monthly cost of 44.45,Month-to-month Mailed check,44.45
8035-BUYVG,Was subscribed for 40 months at a monthly cost of 42.35,One year Electronic check paperless billing,1716.45
1163-ONYEY,Is subscribed for 41 months at a monthly cost of 74.55,Month-to-month Credit card (automatic) paperless billing,3023.55
9787-XVQIU,Was subscribed for 1 months at a monthly cost of 75.3,Month-to-month Electronic check paperless billing,75.3
8945-MUQUF,Was subscribed for 51 months at a monthly cost of 94.8,One year Electronic check paperless billing,4837.6
5656-MJEFC,Is subscribed for 42 months at a monthly cost of 48.15,Two year Credit card (automatic),2032.3
6082-OQFBA,Is subscribed for 23 months at a monthly cost of 19.65,One year Mailed check,436.9
8051-HJRLT,Was subscribed for 1 months at a monthly cost of 70.55,Month-to-month Electronic check paperless billing,70.55
8974-OVACP,Is subscribed for 1 months at a monthly cost of 20.15,Month-to-month Mailed check,20.15
4010-YLMVT,Is subscribed for 56 months at a monthly cost of 106.6,Month-to-month Credit card (automatic) paperless billing,5893.95
1379-FRVEB,Is subscribed for 15 months at a monthly cost of 91.0,Month-to-month Electronic check paperless billing,1430.05
8612-GXIDD,Is subscribed for 12 months at a monthly cost of 25.4,Two year Bank transfer (automatic) paperless billing,313
6288-CHQJB,Is subscribed for 54 months at a monthly cost of 69.95,Two year Bank transfer (automatic),3871.85
8160-HOWOX,Is subscribed for 7 months at a monthly cost of 66.85,Month-to-month Electronic check paperless billing,458.1
3023-GFLBR,Was subscribed for 33 months at a monthly cost of 86.15,Month-to-month Credit card (automatic),2745.7
6648-INWPS,Is subscribed for 16 months at a monthly cost of 20.15,Month-to-month Electronic check,341.35
4223-BKEOR,Is subscribed for 21 months at a monthly cost of 64.85,One year Mailed check,1336.8
4079-VTGLK,Is subscribed for 30 months at a monthly cost of 74.85,Two year Electronic check,2181.75
1763-WQFUK,Is subscribed for 3 months at a monthly cost of 50.5,Month-to-month Mailed check paperless billing,147.75
1391-UBDAR,Is subscribed for 11 months at a monthly cost of 72.9,Month-to-month Electronic check,818.45
8894-JVDCV,Is subscribed for 62 months at a monthly cost of 115.05,One year Credit card (automatic) paperless billing,7133.45
2023-VQFDL,Is subscribed for 18 months at a monthly cost of 19.0,Month-to-month Electronic check,348.8
1345-GKDZZ,Is subscribed for 6 months at a monthly cost of 19.55,Month-to-month Mailed check,128.6
2014-MKGMH,Is subscribed for 46 months at a monthly cost of 101.1,One year Electronic check paperless billing,4674.4
5628-FCGYG,Is subscribed for 21 months at a monthly cost of 84.1,Month-to-month Electronic check paperless billing,1737.45
2560-WBWXF,Is subscribed for 68 months at a monthly cost of 24.15,Two year Bank transfer (automatic) paperless billing,1498.85
0248-IPDFW,Is subscribed for 1 months at a monthly cost of 50.1,Month-to-month Electronic check paperless billing,50.1
7978-DKUQH,Is subscribed for 25 months at a monthly cost of 74.6,Month-to-month Electronic check paperless billing,1797.75
4335-UPJSI,Is subscribed for 24 months at a monthly cost of 19.75,Two year Mailed check,498.1
0524-IAVZO,Was subscribed for 30 months at a monthly cost of 85.0,Month-to-month Electronic check paperless billing,2624.25
2737-YNGYW,Was subscribed for 2 months at a monthly cost of 80.55,Month-to-month Electronic check,184.1
1784-EZDKJ,Is subscribed for 51 months at a monthly cost of 106.8,One year Bank transfer (automatic) paperless billing,5498.8
9297-FVVDH,Is subscribed for 57 months at a monthly cost of 84.5,Two year Electronic check paperless billing,4845.4
8007-YYPWD,Is subscribed for 15 months at a monthly cost of 25.05,Two year Bank transfer (automatic),369.1
7101-HRBLJ,Is subscribed for 72 months at a monthly cost of 83.7,Two year Bank transfer (automatic) paperless billing,6096.9
5159-YFPKQ,Was subscribed for 2 months at a monthly cost of 75.8,Month-to-month Electronic check paperless billing,160.75
6635-CPNUN,Is subscribed for 28 months at a monthly cost of 96.6,Month-to-month Credit card (automatic),2684.35
4021-RQSNY,Was subscribed for 29 months at a monthly cost of 98.5,Month-to-month Electronic check paperless billing,3004.15
5453-YBTWV,Is subscribed for 70 months at a monthly cost of 101.1,Two year Credit card (automatic) paperless billing,6994.8
5039-LZRQT,Is subscribed for 13 months at a monthly cost of 20.2,One year Mailed check,273.25
2931-VUVJN,Is subscribed for 59 months at a monthly cost of 94.05,One year Electronic check paperless billing,5483.9
9061-TIHDA,Was subscribed for 13 months at a monthly cost of 95.25,Month-to-month Electronic check paperless billing,1233.65
8699-ASUFO,Was subscribed for 7 months at a monthly cost of 74.4,Month-to-month Mailed check paperless billing,527.9
6418-PIQSP,Is subscribed for 62 months at a monthly cost of 81.0,Two year Mailed check,4985.9
8220-OCUFY,Is subscribed for 21 months at a monthly cost of 60.25,One year Electronic check paperless billing,1258.35
3995-WFCSM,Is subscribed for 2 months at a monthly cost of 60.85,Month-to-month Electronic check,111.4
1895-QTKDO,Is subscribed for 1 months at a monthly cost of 43.95,Month-to-month Credit card (automatic),43.95
2038-OEQZH,Is subscribed for 4 months at a monthly cost of 86.05,Month-to-month Electronic check,308.1
1178-PZGAB,Is subscribed for 19 months at a monthly cost of 20.25,One year Credit card (automatic),383.65
7927-AUXBZ,Was subscribed for 30 months at a monthly cost of 85.15,Month-to-month Electronic check,2555.9
2626-VEEWG,Is subscribed for 67 months at a monthly cost of 19.4,Two year Credit card (automatic) paperless billing,1284.2
2878-RMWXY,Is subscribed for 72 months at a monthly cost of 102.65,Two year Credit card (automatic) paperless billing,7550.3
1657-DYMBM,Is subscribed for 53 months at a monthly cost of 19.9,Two year Credit card (automatic),1110.05
7311-MQJCH,Is subscribed for 5 months at a monthly cost of 19.55,One year Electronic check,99.6
7375-WMVMT,Is subscribed for 71 months at a monthly cost of 95.5,Two year Credit card (automatic) paperless billing,6707.15
1136-XGEQU,Is subscribed for 50 months at a monthly cost of 84.15,One year Credit card (automatic) paperless billing,4164.4
2530-FMFXO,Is subscribed for 56 months at a monthly cost of 103.2,Two year Electronic check paperless billing,5873.75
6844-DZKRF,Is subscribed for 2 months at a monthly cost of 50.2,Month-to-month Credit card (automatic) paperless billing,109.25
4695-WJZUE,Was subscribed for 2 months at a monthly cost of 88.55,Month-to-month Electronic check paperless billing,179.25
7619-ODSGN,Was subscribed for 24 months at a monthly cost of 54.75,Month-to-month Electronic check,1338.15
5970-GHJAW,Is subscribed for 46 months at a monthly cost of 19.95,Two year Credit card (automatic),862.4
8879-XUAHX,Is subscribed for 71 months at a monthly cost of 116.25,Two year Electronic check paperless billing,8564.75
3689-MOZGR,Is subscribed for 29 months at a monthly cost of 31.2,Month-to-month Electronic check paperless billing,926.2
4195-PNGZS,Is subscribed for 69 months at a monthly cost of 24.45,Two year Bank transfer (automatic),1718.2
5003-XZWWO,Is subscribed for 71 months at a monthly cost of 84.2,Two year Credit card (automatic),5956.85
3988-RQIXO,Was subscribed for 1 months at a monthly cost of 91.3,Month-to-month Electronic check paperless billing,91.3
7622-FWGEW,Is subscribed for 56 months at a monthly cost of 85.65,Two year Bank transfer (automatic) paperless billing,4824.45
6922-NCEDI,Is subscribed for 56 months at a monthly cost of 21.2,One year Mailed check paperless billing,1238.65
2514-GINMM,Was subscribed for 1 months at a monthly cost of 79.5,Month-to-month Electronic check paperless billing,79.5
9891-NQDBD,Is subscribed for 28 months at a monthly cost of 25.55,One year Mailed check,672.2
6131-IUNXN,Is subscribed for 19 months at a monthly cost of 20.2,Month-to-month Mailed check,382.2
8548-AWOFC,Is subscribed for 66 months at a monthly cost of 63.85,Month-to-month Electronic check,4264.6
9798-DRYDS,Is subscribed for 17 months at a monthly cost of 61.95,One year Mailed check paperless billing,1070.7
8532-UEFWH,Is subscribed for 52 months at a monthly cost of 25.75,Two year Mailed check,1345.85
6296-DDOOR,Is subscribed for 19 months at a monthly cost of 58.2,One year Electronic check,1045.25
7951-VRDVK,Is subscribed for 36 months at a monthly cost of 85.85,One year Bank transfer (automatic),3003.55
5931-FLJJF,Was subscribed for 7 months at a monthly cost of 70.1,Month-to-month Mailed check paperless billing,467.55
4815-YOSUK,Is subscribed for 72 months at a monthly cost of 104.9,One year Credit card (automatic) paperless billing,7537.5
2659-VXMWZ,Was subscribed for 67 months at a monthly cost of 111.3,One year Electronic check paperless billing,7482.1
0380-NEAVX,Is subscribed for 34 months at a monthly cost of 99.85,One year Electronic check paperless billing,3343.15
3207-OYBWH,Was subscribed for 57 months at a monthly cost of 95.25,Month-to-month Bank transfer (automatic) paperless billing,5427.05
4285-GYRQC,Was subscribed for 7 months at a monthly cost of 86.25,Month-to-month Electronic check paperless billing,587.1
7216-EWTRS,Was subscribed for 1 months at a monthly cost of 100.8,Month-to-month Electronic check paperless billing,100.8
4365-MSDYN,Is subscribed for 8 months at a monthly cost of 19.55,Month-to-month Bank transfer (automatic) paperless billing,161.15
7036-TYDEC,Is subscribed for 69 months at a monthly cost of 104.0,Two year Electronic check,7028.5
5802-ADBRC,Is subscribed for 50 months at a monthly cost of 104.4,One year Mailed check paperless billing,5232.9
8076-FEZKJ,Is subscribed for 10 months at a monthly cost of 19.5,One year Mailed check,225.85
5197-YPYBZ,Is subscribed for 12 months at a monthly cost of 25.25,Two year Credit card (automatic),274.7
8337-MSSXB,Was subscribed for 14 months at a monthly cost of 86.3,Month-to-month Electronic check paperless billing,1180.95
4312-GVYNH,Is subscribed for 70 months at a monthly cost of 49.85,Two year Bank transfer (automatic) paperless billing,3370.2
8495-LJDFO,Is subscribed for 64 months at a monthly cost of 108.95,Month-to-month Bank transfer (automatic) paperless billing,7111.3
0839-JTCUD,Is subscribed for 66 months at a monthly cost of 89.9,Two year Credit card (automatic),5958.85
5494-WOZRZ,Is subscribed for 71 months at a monthly cost of 82.0,Two year Credit card (automatic) paperless billing,5999.85
1302-UHBDD,Is subscribed for 20 months at a monthly cost of 89.95,Month-to-month Electronic check,1648.45
2234-EOFPT,Is subscribed for 72 months at a monthly cost of 79.35,Two year Bank transfer (automatic) paperless billing,5753.25
8619-IJNDK,Is subscribed for 71 months at a monthly cost of 64.05,Two year Credit card (automatic),4492.9
8378-LKJAF,Is subscribed for 38 months at a monthly cost of 101.15,Month-to-month Credit card (automatic) paperless billing,3956.7
8182-BJDSI,Was subscribed for 28 months at a monthly cost of 89.95,Month-to-month Electronic check paperless billing,2625.55
2528-HFYZX,Was subscribed for 17 months at a monthly cost of 76.45,Month-to-month Electronic check paperless billing,1233.4
1153-GNOLC,Is subscribed for 33 months at a monthly cost of 39.1,One year Electronic check paperless billing,1309
3298-QEICA,Is subscribed for 23 months at a monthly cost of 34.6,Two year Mailed check,813.45
0788-DXBFY,Is subscribed for 58 months at a monthly cost of 19.55,One year Electronic check paperless billing,1108.8
3597-YASZG,Is subscribed for 70 months at a monthly cost of 104.45,Two year Bank transfer (automatic) paperless billing,7349.35
3496-LFSZU,Is subscribed for 4 months at a monthly cost of 70.5,Month-to-month Electronic check,294.2
5242-UOWHD,Is subscribed for 45 months at a monthly cost of 20.35,Two year Mailed check,929.2
2482-CZGBB,Was subscribed for 10 months at a monthly cost of 70.0,Month-to-month Electronic check paperless billing,740
6479-SZPLM,Is subscribed for 36 months at a monthly cost of 19.45,Two year Credit card (automatic),754.5
8097-VBQTZ,Is subscribed for 54 months at a monthly cost of 69.9,Month-to-month Mailed check paperless billing,3883.3
4500-HKANN,Is subscribed for 23 months at a monthly cost of 59.7,Two year Mailed check,1414.2
9917-KWRBE,Is subscribed for 41 months at a monthly cost of 78.35,One year Credit card (automatic) paperless billing,3211.2
3420-ZDBMA,Is subscribed for 5 months at a monthly cost of 71.45,Month-to-month Mailed check paperless billing,371.6
2212-LYASK,Is subscribed for 27 months at a monthly cost of 45.85,One year Credit card (automatic) paperless billing,1246.4
1393-IMKZG,Is subscribed for 1 months at a monthly cost of 95.85,Month-to-month Electronic check paperless billing,95.85
8069-RHUXK,Is subscribed for 67 months at a monthly cost of 35.7,Two year Credit card (automatic),2545.7
3398-GCPMU,Is subscribed for 72 months at a monthly cost of 89.55,Two year Credit card (automatic) paperless billing,6448.85
2908-WGAXL,Is subscribed for 56 months at a monthly cost of 24.95,Two year Credit card (automatic) paperless billing,1468.9
3378-AJRAO,Is subscribed for 44 months at a monthly cost of 24.85,One year Electronic check,1013.6
1013-QCWAM,Is subscribed for 66 months at a monthly cost of 100.8,Month-to-month Electronic check paperless billing,6690.75
0866-QLSIR,Was subscribed for 34 months at a monthly cost of 64.4,One year Mailed check paperless billing,2088.75
6050-FFXES,Is subscribed for 69 months at a monthly cost of 105.35,Two year Bank transfer (automatic),7240.65
7181-BQYBV,Was subscribed for 1 months at a monthly cost of 102.45,Month-to-month Electronic check paperless billing,102.45
0362-RAOQO,Is subscribed for 40 months at a monthly cost of 19.65,Two year Credit card (automatic),830.25
9554-DFKIC,Is subscribed for 30 months at a monthly cost of 54.45,Month-to-month Bank transfer (automatic) paperless billing,1588.7
5527-ACHSO,Is subscribed for 11 months at a monthly cost of 70.5,Month-to-month Mailed check,829.3
0829-DDVLK,Is subscribed for 15 months at a monthly cost of 20.1,One year Credit card (automatic),302.45
1399-UBQIU,Is subscribed for 11 months at a monthly cost of 69.35,Month-to-month Electronic check paperless billing,712.25
1813-JLKWR,Is subscribed for 64 months at a monthly cost of 19.8,One year Bank transfer (automatic),1336.65
0336-PIKEI,Is subscribed for 72 months at a monthly cost of 74.4,Two year Bank transfer (automatic),5360.75
7322-OCWHC,Is subscribed for 72 months at a monthly cost of 93.05,Two year Bank transfer (automatic) paperless billing,6735.05
9537-VHDTA,Is subscribed for 1 months at a monthly cost of 51.2,Month-to-month Mailed check,51.2
4957-TIALW,Is subscribed for 15 months at a monthly cost of 65.6,One year Credit card (automatic),1010
2054-PJOCK,Is subscribed for 60 months at a monthly cost of 80.55,One year Credit card (automatic),4847.05
9150-HEPMB,Is subscribed for 56 months at a monthly cost of 52.7,One year Mailed check,3019.7
9030-QGZNL,Is subscribed for 8 months at a monthly cost of 20.85,Two year Mailed check,161.65
6204-IEUXJ,Was subscribed for 3 months at a monthly cost of 80.1,Month-to-month Credit card (automatic),217.55
3126-WQMGH,Is subscribed for 49 months at a monthly cost of 52.15,Month-to-month Credit card (automatic) paperless billing,2583.75
4529-CKBCL,Was subscribed for 2 months at a monthly cost of 80.2,Month-to-month Electronic check paperless billing,146.05
2506-CLAKW,Was subscribed for 6 months at a monthly cost of 98.15,Month-to-month Bank transfer (automatic) paperless billing,567.45
7176-WRTNX,Is subscribed for 70 months at a monthly cost of 114.95,Two year Bank transfer (automatic) paperless billing,7711.25
1583-IHQZE,Was subscribed for 12 months at a monthly cost of 112.95,Month-to-month Mailed check paperless billing,1384.75
5732-IKGQH,Is subscribed for 52 months at a monthly cost of 104.45,One year Bank transfer (automatic) paperless billing,5481.25
9239-GZHZE,Is subscribed for 72 months at a monthly cost of 113.65,Two year Credit card (automatic) paperless billing,8124.2
7205-BAIAD,Is subscribed for 40 months at a monthly cost of 20.6,Two year Bank transfer (automatic) paperless billing,827.3
0151-ONTOV,Was subscribed for 1 months at a monthly cost of 70.9,Month-to-month Mailed check,70.9
4140-MUHUG,Was subscribed for 3 months at a monthly cost of 86.85,Month-to-month Electronic check paperless billing,220.95
0093-EXYQL,Is subscribed for 40 months at a monthly cost of 91.55,Month-to-month Electronic check paperless billing,3673.6
8064-RAVOH,Is subscribed for 1 months at a monthly cost of 49.85,Month-to-month Electronic check paperless billing,49.85
0219-QAERP,Is subscribed for 30 months at a monthly cost of 19.8,One year Credit card (automatic),576.65
0320-JDNQG,Was subscribed for 23 months at a monthly cost of 99.85,Month-to-month Electronic check paperless billing,2331.3
7180-PISOG,Was subscribed for 1 months at a monthly cost of 74.5,Month-to-month Electronic check paperless billing,74.5
9168-INPSZ,Is subscribed for 44 months at a monthly cost of 104.15,Month-to-month Electronic check,4495.65
3571-RFHAR,Was subscribed for 65 months at a monthly cost of 109.15,Month-to-month Electronic check paperless billing,6941.2
0015-UOCOJ,Is subscribed for 7 months at a monthly cost of 48.2,Month-to-month Electronic check paperless billing,340.35
5334-AFQJB,Is subscribed for 72 months at a monthly cost of 25.1,Two year Credit card (automatic) paperless billing,1789.9
2754-SDJRD,Is subscribed for 8 months at a monthly cost of 100.15,Month-to-month Credit card (automatic) paperless billing,908.55
9578-VRMNM,Was subscribed for 16 months at a monthly cost of 65.2,Month-to-month Credit card (automatic) paperless billing,1043.35
1587-FKLZB,Was subscribed for 66 months at a monthly cost of 99.5,Month-to-month Credit card (automatic) paperless billing,6822.15
6140-QNRQQ,Was subscribed for 1 months at a monthly cost of 71.55,Month-to-month Mailed check paperless billing,71.55
8963-JLGJT,Is subscribed for 3 months at a monthly cost of 55.9,Month-to-month Mailed check,157.55
4307-KTUMW,Was subscribed for 53 months at a monthly cost of 93.9,Month-to-month Electronic check,5029.2
1465-LNTLJ,Is subscribed for 8 months at a monthly cost of 64.4,Month-to-month Credit card (automatic) paperless billing,581.7
5440-FLBQG,Was subscribed for 69 months at a monthly cost of 108.4,Two year Bank transfer (automatic) paperless billing,7318.2
2135-DQWAQ,Is subscribed for 5 months at a monthly cost of 85.3,Month-to-month Mailed check paperless billing,420.45
4056-QHXHZ,Is subscribed for 72 months at a monthly cost of 107.45,Two year Mailed check,7576.7
7470-MCQTK,Was subscribed for 13 months at a monthly cost of 48.75,Month-to-month Bank transfer (automatic) paperless billing,633.4
7488-MXJIV,Was subscribed for 4 months at a monthly cost of 85.65,Month-to-month Electronic check paperless billing,321.65
7401-JIXNM,Is subscribed for 54 months at a monthly cost of 91.3,Two year Credit card (automatic),4965
9339-FIIJL,Is subscribed for 72 months at a monthly cost of 85.95,Two year Bank transfer (automatic),6151.9
2027-FECZV,Was subscribed for 12 months at a monthly cost of 106.7,Month-to-month Electronic check paperless billing,1253.9
2672-DZUOY,Was subscribed for 1 months at a monthly cost of 25.15,Month-to-month Electronic check paperless billing,25.15
4706-DGAHW,Is subscribed for 1 months at a monthly cost of 45.2,Month-to-month Electronic check,45.2
3870-MQAMG,Was subscribed for 54 months at a monthly cost of 110.35,One year Electronic check,5893.15
6670-MFRPK,Is subscribed for 69 months at a monthly cost of 79.2,Two year Credit card (automatic) paperless billing,5420.65
6177-PEVRA,Is subscribed for 48 months at a monthly cost of 55.5,Two year Credit card (automatic),2627.35
4800-CZMPC,Was subscribed for 48 months at a monthly cost of 103.25,One year Credit card (automatic) paperless billing,5037.55
4813-HQMGZ,Is subscribed for 8 months at a monthly cost of 90.25,Month-to-month Electronic check paperless billing,743.75
7579-KKLOE,Is subscribed for 71 months at a monthly cost of 91.25,Two year Mailed check paperless billing,6589.6
7377-DMMRI,Was subscribed for 2 months at a monthly cost of 47.8,Month-to-month Electronic check paperless billing,92.45
8402-EIVQS,Is subscribed for 67 months at a monthly cost of 100.9,One year Credit card (automatic) paperless billing,6733.15
4947-DSMXK,Is subscribed for 34 months at a monthly cost of 97.7,Month-to-month Bank transfer (automatic) paperless billing,3410
7245-NIIWQ,Is subscribed for 3 months at a monthly cost of 69.85,Month-to-month Electronic check paperless billing,199.85
0002-ORFBO,Is subscribed for 9 months at a monthly cost of 65.6,One year Mailed check paperless billing,593.3
3324-OIRTO,Is subscribed for 71 months at a monthly cost of 104.65,One year Bank transfer (automatic) paperless billing,7288.4
5414-OFQCB,Is subscribed for 57 months at a monthly cost of 90.45,Two year Credit card (automatic) paperless billing,5229.8
4967-WPNCF,Is subscribed for 72 months at a monthly cost of 63.7,Two year Bank transfer (automatic) paperless billing,4464.8
8552-OBVRU,Is subscribed for 48 months at a monthly cost of 104.5,Month-to-month Electronic check paperless billing,5068.05
8499-BRXTD,Is subscribed for 18 months at a monthly cost of 20.1,One year Mailed check,401.85
9154-QDGTH,Is subscribed for 43 months at a monthly cost of 104.3,One year Credit card (automatic) paperless billing,4451.85
8197-BFWVU,Is subscribed for 72 months at a monthly cost of 93.25,Two year Bank transfer (automatic) paperless billing,6688.95
2577-GVSIL,Is subscribed for 35 months at a monthly cost of 73.45,One year Bank transfer (automatic) paperless billing,2661.1
9367-OIUXP,Is subscribed for 4 months at a monthly cost of 20.7,Month-to-month Mailed check,73.05
